"","text"
"1"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"2"," harus lih lih yaa dalam menolak tambang ilegal jangan hanya ingin mendatkan atensi dalam kasus wadas"
"3"," calon lawan yang diendorse esiden oduk gagal di jawa tengah terbukti tingkat kemiskinan meningkat k "
"4","para sjw lsm dan ngo lihlih dalam menolak tambang ilegal mereka hanya ingin mendatkan atensi dalam kasus w "
"5","para sjw lsm dan ngo lihlih dalam menolak tambang ilegal mereka hanya ingin mendatkan atensi dalam kasus w "
"6","hallo lsm yg kemaren ributin wadas "
"7","ind jielehhhh broketinggalan beritawadas dah da nya uamg loe msih ngesot"
"8"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"9"," kasus wadas yang ada diden mata anda juga gagal padahal sama merusak lingkungan bahkan dengan adanya kasus wadas ini bisa"
"10","para sjw lsm dan ngo lihlih dalam menolak tambang ilegal mereka hanya ingin mendatkan atensi dalam kasus w "
"11"," itu ganjarpranowo suru selesaikan dulu soal ektp am warga wadaskalo urusan ini tak beres bagaimana rak "
"12"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"13","tweet wadas ye lur"
"14"," beking gimana udah kebagian sembunyi tangan selain a belum rnah denger ada warga sil berontak "
"15","  satu langkah untuk indonesia damaitigaperiodembahmu "
"16"," ketua dprnya perem puandi panggil puan ta tidak punya kemam puan selamat datang negeri peni puan "
"17"," mana sumhmu rhamdani diden sara lagi a sumhmu itu hanya untuk jualan keca jual nama aktivis  hanya un"
"18"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"19"," dumdum senyum bahagia warga wadas terima ganti untung hingga milyaran ruah sjw gigit jari gak dat komisi semua dana lang"
"20"," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"21"," salam wadas "
"22"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"23"," dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang sebanyak itu"
"24"," jateng barang kali tahu buat a nih bro melawan "
"25"," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"26"," politik indentitas  wadas bgm kabarnya "
"27"," coba lu bikin konten di kendeng n wadas mbil bilang s itu kita lihat hasilnya"
"28"," wadas mungkin ditentang masyarakat dan merusak ta itu adlh tambang resmi karena sdh me "
"29","dat ugr sekitar r miliar salah seorang warga desa wadas purworejo mengaku bingung mau dibuat a uang seba "
"30","cerita warga wadas terima ugk sami r miliar bingung buat a "
"31"," soal wadas aja udah kehilangan komuk "
"32"," masih rcaya wadas saja blom beres "
"33"," melawan bagi kami nilainilai tanah wadas tidak bisa digantikan dengan segepok uang ganti rugi atau ugrsedari awal konseugr"
"34"," halo wadas"
"35"," cayah jokodok  tiwas "
"36"," survei yang wadas"
"37"," anakkolong kesaksian warga wadas yang mendukung proyek bendungan tangkaprovokatornya"
"38"," warga wadas purworejo terima ugk proyek bendungan bener senilai r miliar "
"39","tweet halah cah otes wadas ya ra enek follow ue"
"40"," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"41","  jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatyang adawadas merana jateng ovinsi termisk"
"42","wadas ooii udah selesai belum "
