"","klasifikasi","score","text"
"1","Negatif",-1," soal wadas aja udah kehilangan komuk "
"2","Negatif",-1," masih rcaya wadas saja blom beres "
"3","Negatif",-3," melawan bagi kami nilainilai tanah wadas tidak bisa digantikan dengan segepok uang ganti rugi atau ugrsedari awal konseugr"
"4","Netral",0," halo wadas"
"5","Netral",0," cayah jokodok  tiwas "
"6","Netral",0," survei yang wadas"
"7","Netral",0," anakkolong kesaksian warga wadas yang mendukung proyek bendungan tangkaprovokatornya"
"8","Positif",1," warga wadas purworejo terima ugk proyek bendungan bener senilai r miliar "
"9","Negatif",-1,"tweet halah cah otes wadas ya ra enek follow ue"
"10","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"11","Negatif",-2,"  jangan pilih ganjar rambut putih piaraan oligarkiboro mikirin rakyatyang adawadas merana jateng ovinsi termisk"
"12","Negatif",-2,"wadas ooii udah selesai belum "
"13","Negatif",-1," kalau tanya estasi ganjar itu menoreh wadas di bener purworejo di jual sama modal china"
"14","Negatif",-4," urusin tambang ilegal kamng aja ga bisa urusin desa wadas ga bisa juga a mungkin ganjar ini cuma level rw"
"15","Netral",0," woyyyy wadas aja g becuss"
"16","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"17","Negatif",-1,"cara ganjar tangani wadas diji dprkami hadir mendukung ganjaranowoganjaranowoganjarkita "
"18","Netral",0," wadas akabs k "
"19","Netral",0," ali habis tambang semen kendeng terbitlah wadas purworejojateng tidak ramah untuk wong cilik wong cilik selalu terusi"
"20","Netral",0," wadas wadas"
"21","Negatif",-1," kayak di wadas ya maksudnya"
"22","Negatif",-1," masih rcaya wadas saja blom beres "
"23","Negatif",-1," warga wadas sudah menobatkan ganjar penjahat lingkungan "
"24","Netral",0," pie wadase tambang ilegalkatanya bekingannya kuate iki itu aja ngeluh gmn mau "
"25","Positif",2," alhamdulillah loa datang juga terima kasih kementerian atr bpnbigdata datascientist data par journal datamining"
"26","Negatif",-2," masalah wadas blm selesai rakyat sdh antiti sm ganjarngeri kalo dimn rambut ubanan  tandanya s "
"27","Netral",0," selama ini kok gak digrebek yakena kok waktu akan milua ini skenario waktu makan diwarung "
"28","Negatif",-5,"  hahahahaha wadus yg kurang uate dan kurang teliti ya loe maknya kalo nyomot berita jgn s "
"29","Netral",0," dkt dgn rakyat lalu bgmn dgn kasus warga wadas"
"30","Netral",0," hah wadas"
"31","Netral",0,"wb bt lau aje ma golongan sekolem bongmelawan noh kirin"
"32","Positif",2,"alhamdulillah loa datang juga terima kasih kementerian atr bpnbigdata datascientist data par journal "
"33","Netral",0," selling kalian terlalu sibuk dengan ala duniasami lu harga telor skrng udah terimakasih terimakasih me"
"34","Negatif",-1," rusak  "
"35","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"36","Positif",2," kartika kalau ganjar yg jd esiden berikutnya d disimlkan kondisi indonesia tdk akan terjadi rubahan kemajuan gak usah di"
"37","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"38","Negatif",-1," si ganjar pranowo hanya dekat rakyat jateng kalau rakyat jawa barat dan luar jawa jauh rakyat wadas saja "
"39","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"40","Netral",0," areberjuang sg rakyat wadas"
"41","Netral",0," kayak gini gn myaes gimana mau lindungin rakyat se indonesia urus wadas aka gak becus"
"42","Negatif",-1," ali rakyat wadas dan kendeng menjadi saksi beta dzalim nya kemimnan ganjar pranowo sebagai gubernur jawa tengah daera"
"43","Netral",0,"wadas a kabar "
"44","Netral",0," para kyai ulama a gak melihat rlakuan gp di wadas"
"45","Netral",0," wadas ajalah"
"46","Netral",0,"owh begitukah itu kasus wadas gmn den bagus  "
"47","Netral",0," salam wadas"
